"ARS","Name","Bundesland","Ostdeutschland","Bev_Tausend","Abitur_Quote","OhneAbschl_Quote","Abitur_GenderGap","Erwerbstaetig_Quote","Erwerbslos_Quote","Nichterwerb_Quote","Erwerbstaetig_GenderGap","Erwerbslos_GenderGap"
"09777","Ostallgäu","BY",0,137.8,25.7,3,-1.9,55.8,5,41.3,-3.2,2.1
"09778","Unterallgäu","BY",0,139.7,23.8,3.5,-0.8,57,5.2,39.9,-4.4,2.2
"09779","Donau-Ries","BY",0,129.8,23.3,4.7,-3.6,55.9,6.5,40.2,-4.9,2.3
"09780","Oberallgäu","BY",0,149,27.2,3.1,-2.5,56.8,5.2,40.1,-1.2,0.5
"10041","Regionalverband Saarbrücken","SL",0,322.5,39.6,8.3,-6,46.6,7.5,49.6,-2.8,-1.4
"10042","Merzig-Wadern","SL",0,106.4,33.7,7.1,-3.1,49.9,6,46.9,-2.3,0.2
"10043","Neunkirchen","SL",0,130.7,30.6,6.8,-4.5,47.2,6,49.8,-3.4,0
"10044","Saarlouis","SL",0,201.3,32.9,6.7,-3.3,47.3,6.2,49.5,-2.9,-0.6
"10045","Saarpfalz-Kreis","SL",0,142,37.1,5.8,-5.3,47.1,6.4,49.7,-2.5,-1
"10046","St. Wendel","SL",0,86,33.2,4.6,-3.5,49.8,4.3,48,-2,-0.6
"11000","Berlin, Stadt","BE",1,3484.4,55.3,8.8,-1.4,50.9,7.7,44.9,-1.7,-1
"12051","Brandenburg an der Havel, Stadt","BB",1,70.9,33.1,7.9,0.7,44.9,8.5,50.9,-2.7,-0.3
"12052","Cottbus, Stadt","BB",1,91.6,38.6,7.8,-3.3,45.4,7.9,50.7,-1,-3.6
"12053","Frankfurt (Oder), Stadt","BB",1,54.2,34.7,8.3,-1.7,45.9,8,50.1,-1.5,-0.7
"12054","Potsdam, Stadt","BB",1,178.5,56,5.1,-2.1,52.1,5.7,44.7,-0.7,-1.7
"12060","Barnim","BB",1,185.3,34.1,5.4,0.1,50.2,5.3,47,-1.3,-0.2
"12061","Dahme-Spreewald","BB",1,171.2,35.2,4.8,1.3,49.5,5.3,47.7,-2,0.4
"12062","Elbe-Elster","BB",1,97.1,22,5.8,3.7,46.3,5.9,50.8,-2.3,0.3
"12063","Havelland","BB",1,164.1,35,5.8,0.7,50.8,4.6,46.8,-1.8,-0.3
"12064","Märkisch-Oderland","BB",1,191.6,32.2,5.7,1.3,49.7,5.6,47.3,-2,0.4
"12065","Oberhavel","BB",1,212.1,36,5.3,0.4,50.6,5.1,46.7,-1.4,0.2
"12066","Oberspreewald-Lausitz","BB",1,107.3,24.5,6,-0.2,45.7,6.4,51.2,-2.9,0.2
"12067","Oder-Spree","BB",1,172,33.2,4.9,1.3,46.9,5.4,50.5,-1.9,0.7
"12068","Ostprignitz-Ruppin","BB",1,96.8,27.9,6.9,2.1,46.4,6.7,50.2,-2.2,-0.9
"12069","Potsdam-Mittelmark","BB",1,214.2,41,3.8,0.2,51.5,3.8,46.5,-1.5,-0.4
"12070","Prignitz","BB",1,74.8,24.3,9.3,2,45.2,6.4,51.7,-3.1,-0.2
"12071","Spree-Neiße","BB",1,108.7,26.5,4.7,0.1,46.4,6.5,50.4,-2.1,-0.3
"12072","Teltow-Fläming","BB",1,169.2,30.1,3.9,1.7,51.9,4.3,45.7,-2.3,-0.6
"12073","Uckermark","BB",1,115.6,26.5,7.7,2.4,44,8.2,52.1,-2.6,0.3
"13003","Rostock","MV",1,198.5,41,4.8,-0.9,48.9,6.4,47.8,-2.1,-0.2
"13004","Schwerin","MV",1,93.8,34.8,5.8,-2.4,46.5,7.6,49.6,-1.7,1.7
"13071","Mecklenburgische Seenplatte","MV",1,241.9,23.3,4.3,0.2,46,6.3,50.9,-2,0.1
"13072","Landkreis Rostock","MV",1,212.1,28.6,5.2,1,48.1,4.8,49.5,-1.7,0.8
"13073","Vorpommern-Rügen","MV",1,210.7,24.5,4.8,-0.8,46.7,6.3,50.2,-1.5,-0.2
"13074","Nordwestmecklenburg","MV",1,153.4,27.5,4.6,1.9,49,5.3,48.3,-2.4,0.4
"13075","Vorpommern-Greifswald","MV",1,220.5,27.4,4.4,0.1,44.4,7.3,52.1,-1.6,-1.6
"13076","Ludwigslust-Parchim","MV",1,204.8,24.3,5.6,1,47.9,5.5,49.3,-2.6,-0.4
"14511","Chemnitz, Stadt","SN",1,219.1,34.8,5.2,-2.1,46.2,6.2,50.7,-3.4,1.3
"14521","Erzgebirgskreis","SN",1,309,21.2,3.3,0.5,47.7,3.6,50.5,-2.7,0
"14522","Mittelsachsen","SN",1,282.8,24.1,3.7,-0.7,47.8,4.8,49.8,-2.4,0.4
"14523","Vogtlandkreis","SN",1,212.2,23.2,3.2,0,46.2,4.8,51.5,-2.7,-0.3
"14524","Zwickau","SN",1,292.7,24.3,3.7,0,47.7,5,49.8,-2.7,0.8
"14612","Dresden, Stadt","SN",1,510.9,48.8,4.1,-3.8,50.7,5.5,46.3,-2.5,0.6
"14625","Bautzen","SN",1,281,23.7,3.6,0.1,47.6,4.9,50,-2.2,-0.1
"14626","Görlitz","SN",1,230.4,24.1,4.6,-1.1,44.7,6.7,52.1,-1.7,-0.7
"14627","Meißen","SN",1,232.2,26.4,4,0.7,47.7,4.7,49.9,-2.5,0.1
"14628","Sächsische Schweiz-Osterzgebirge","SN",1,233.3,26.1,3.5,0.2,48.5,4.5,49.2,-2.1,-0.2
"14713","Leipzig, Stadt","SN",1,539.3,48.8,4.6,-1.2,52.4,6.3,44,-2.2,-0.1
"14729","Leipzig","SN",1,248.6,28.1,3.7,-0.1,48.8,4.6,48.8,-1.6,0.2
"14730","Nordsachsen","SN",1,191.2,24.9,4,0.1,48.4,5.7,48.7,-3,-0.2
"15001","Dessau-Roßlau, Stadt","ST",1,74.3,27.1,4.2,-2.4,44,7,52.7,-0.5,-1.1
